ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,order_date,ship_date,order_id,customer_id,payment_due_date,payment_date,payment_delay_days,payment_status,aging_bucket
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,2021-08-15,2021-08-19,39,Home Office_Houston,2021-09-14,2021-10-15,31,Late,31–60 Days Late
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,2020-11-17,2020-11-20,40,Home Office_Houston,2020-12-17,2020-12-18,1,Late,0–30 Days Late
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,2021-08-15,2021-08-16,41,Home Office_Houston,2021-09-14,2021-09-29,15,Late,0–30 Days Late
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,2020-07-16,2020-07-18,42,Corporate_Naperville,2020-08-15,2020-08-18,3,Late,0–30 Days Late
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,2022-06-21,2022-06-25,43,Corporate_Los Angeles,2022-07-21,2022-08-23,33,Late,31–60 Days Late
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,2021-04-11,2021-04-15,44,Corporate_Melbourne,2021-05-11,2021-05-23,12,Late,0–30 Days Late
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,2022-02-28,2022-03-06,45,Corporate_Eagan,2022-03-30,2022-03-28,-2,On Time,On Time / Early
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2020-10-08,2020-10-09,46,Corporate_Eagan,2020-11-07,2020-11-26,19,Late,0–30 Days Late
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,2019-01-21,2019-01-26,47,Consumer_Westland,2019-02-20,2019-02-28,8,Late,0–30 Days Late
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,2021-04-20,2021-04-24,48,Consumer_Dover,2021-05-20,2021-07-03,44,Late,31–60 Days Late
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,2019-06-16,2019-06-19,49,Consumer_Dover,2019-07-16,2019-07-19,3,Late,0–30 Days Late
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,2022-07-21,2022-07-25,50,Consumer_New Albany,2022-08-20,2022-09-09,20,Late,0–30 Days Late
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,2020-01-23,2020-01-29,51,Consumer_New Albany,2020-02-22,2020-02-18,-4,On Time,On Time / Early
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,2020-08-23,2020-08-25,52,Consumer_New Albany,2020-09-22,2020-10-06,14,Late,0–30 Days Late
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,2019-11-12,2019-11-18,53,Consumer_New Albany,2019-12-12,2020-01-03,22,Late,0–30 Days Late
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2019-01-14,2019-01-18,54,Corporate_New York City,2019-02-13,2019-03-26,41,Late,31–60 Days Late
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,2019-08-30,2019-09-04,55,Corporate_New York City,2019-09-29,2019-09-30,1,Late,0–30 Days Late
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,2021-02-15,2021-02-22,56,Consumer_Troy,2021-03-17,2021-04-24,38,Late,31–60 Days Late
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,2022-10-01,2022-10-05,57,Consumer_Troy,2022-10-31,2022-11-02,2,Late,0–30 Days Late
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,2020-07-18,2020-07-19,58,Consumer_Troy,2020-08-17,2020-09-27,41,Late,31–60 Days Late
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,2021-06-16,2021-06-20,59,Consumer_Troy,2021-07-16,2021-08-14,29,Late,0–30 Days Late
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,2022-09-25,2022-09-30,60,Consumer_Troy,2022-10-25,2022-11-02,8,Late,0–30 Days Late
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,2019-04-02,2019-04-03,61,Consumer_Troy,2019-05-02,2019-05-13,11,Late,0–30 Days Late
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,2022-10-22,2022-10-25,62,Consumer_Troy,2022-11-21,2022-12-21,30,Late,0–30 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,2021-08-13,2021-08-14,63,Consumer_Los Angeles,2021-09-12,2021-10-26,44,Late,31–60 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,2022-12-22,2022-12-28,64,Consumer_Los Angeles,2023-01-21,2023-02-24,34,Late,31–60 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,2020-05-23,2020-05-25,65,Consumer_Los Angeles,2020-06-22,2020-06-20,-2,On Time,On Time / Early
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,2021-02-14,2021-02-20,66,Consumer_Los Angeles,2021-03-16,2021-03-12,-4,On Time,On Time / Early
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,2019-02-04,2019-02-11,67,Home Office_Chicago,2019-03-06,2019-03-06,0,On Time,On Time / Early
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,2019-07-25,2019-07-26,68,Corporate_Gilbert,2019-08-24,2019-09-29,36,Late,31–60 Days Late
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,2022-01-09,2022-01-12,69,Corporate_Gilbert,2022-02-08,2022-02-06,-2,On Time,On Time / Early
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,2022-11-12,2022-11-16,70,Consumer_Springfield,2022-12-12,2023-01-04,23,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,2021-10-22,2021-10-23,71,Consumer_New York City,2021-11-21,2021-12-03,12,Late,0–30 Days Late
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,2021-10-18,2021-10-24,72,Consumer_Jackson,2021-11-17,2021-12-07,20,Late,0–30 Days Late
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,2022-11-14,2022-11-15,73,Consumer_Memphis,2022-12-14,2023-01-21,38,Late,31–60 Days Late
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,2020-07-19,2020-07-20,74,Consumer_Memphis,2020-08-18,2020-09-15,28,Late,0–30 Days Late
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,2022-02-03,2022-02-04,75,Consumer_Memphis,2022-03-05,2022-03-09,4,Late,0–30 Days Late
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2020-12-03,2020-12-06,76,Corporate_Houston,2021-01-02,2021-02-01,30,Late,0–30 Days Late
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2020-02-06,2020-02-11,77,Corporate_Houston,2020-03-07,2020-03-15,8,Late,0–30 Days Late
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2020-12-30,2021-01-04,78,Corporate_Houston,2021-01-29,2021-02-23,25,Late,0–30 Days Late
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,2019-06-11,2019-06-12,79,Consumer_Houston,2019-07-11,2019-08-22,42,Late,31–60 Days Late
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,2019-07-21,2019-07-24,80,Corporate_Decatur,2019-08-20,2019-08-29,9,Late,0–30 Days Late
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,2021-09-22,2021-09-25,81,Corporate_Decatur,2021-10-22,2021-10-24,2,Late,0–30 Days Late
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,2019-09-27,2019-10-04,82,Consumer_San Francisco,2019-10-27,2019-11-04,8,Late,0–30 Days Late
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,2021-03-26,2021-03-27,83,Consumer_San Francisco,2021-04-25,2021-05-12,17,Late,0–30 Days Late
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,2022-07-18,2022-07-24,84,Corporate_Durham,2022-08-17,2022-09-20,34,Late,31–60 Days Late
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,2020-03-31,2020-04-06,85,Home Office_Chicago,2020-04-30,2020-05-15,15,Late,0–30 Days Late
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,2022-06-29,2022-07-01,86,Consumer_Columbia,2022-07-29,2022-08-08,10,Late,0–30 Days Late
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,2021-10-13,2021-10-14,87,Consumer_Rochester,2021-11-12,2021-12-21,39,Late,31–60 Days Late
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,2019-10-23,2019-10-25,88,Consumer_Rochester,2019-11-22,2019-12-04,12,Late,0–30 Days Late
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,2020-12-20,2020-12-26,89,Home Office_Houston,2021-01-19,2021-03-01,41,Late,31–60 Days Late
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,2019-12-04,2019-12-10,90,Corporate_Los Angeles,2020-01-03,2020-01-21,18,Late,0–30 Days Late
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,2021-05-28,2021-05-29,91,Corporate_Los Angeles,2021-06-27,2021-07-17,20,Late,0–30 Days Late
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,2021-12-12,2021-12-14,92,Corporate_Los Angeles,2022-01-11,2022-01-30,19,Late,0–30 Days Late
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,2021-03-02,2021-03-04,93,Consumer_Minneapolis,2021-04-01,2021-05-10,39,Late,31–60 Days Late
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,2019-08-05,2019-08-06,94,Consumer_Minneapolis,2019-09-04,2019-10-09,35,Late,31–60 Days Late
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,2021-02-02,2021-02-09,95,Consumer_Minneapolis,2021-03-04,2021-03-27,23,Late,0–30 Days Late
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,2019-07-07,2019-07-09,96,Home Office_Portland,2019-08-06,2019-08-15,9,Late,0–30 Days Late
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,2020-01-15,2020-01-22,97,Home Office_New York City,2020-02-14,2020-03-24,39,Late,31–60 Days Late
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,2020-05-07,2020-05-11,98,Consumer_San Francisco,2020-06-06,2020-06-01,-5,On Time,On Time / Early
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,2021-11-30,2021-12-06,99,Corporate_Saint Paul,2021-12-30,2022-01-18,19,Late,0–30 Days Late
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,2022-03-26,2022-03-31,100,Home Office_Chicago,2022-04-25,2022-04-26,1,Late,0–30 Days Late
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,2019-01-15,2019-01-22,101,Home Office_Chicago,2019-02-14,2019-02-17,3,Late,0–30 Days Late
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,2019-03-06,2019-03-13,102,Home Office_Chicago,2019-04-05,2019-04-23,18,Late,0–30 Days Late
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,2020-06-04,2020-06-11,103,Consumer_Rochester,2020-07-04,2020-06-29,-5,On Time,On Time / Early
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,2022-09-29,2022-10-02,104,Consumer_Aurora,2022-10-29,2022-12-06,38,Late,31–60 Days Late
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,2022-02-26,2022-02-28,105,Consumer_Aurora,2022-03-28,2022-03-30,2,Late,0–30 Days Late
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,2020-10-09,2020-10-11,106,Consumer_Aurora,2020-11-08,2020-11-26,18,Late,0–30 Days Late
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,2021-12-22,2021-12-25,107,Consumer_Charlotte,2022-01-21,2022-01-26,5,Late,0–30 Days Late
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,2022-03-08,2022-03-10,108,Consumer_Charlotte,2022-04-07,2022-04-18,11,Late,0–30 Days Late
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,2020-08-15,2020-08-18,109,Consumer_Charlotte,2020-09-14,2020-09-16,2,Late,0–30 Days Late
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,2020-01-27,2020-02-03,110,Home Office_Orland Park,2020-02-26,2020-03-26,29,Late,0–30 Days Late
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,2020-02-23,2020-02-24,111,Corporate_New York City,2020-03-24,2020-04-22,29,Late,0–30 Days Late
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,2019-10-16,2019-10-20,112,Consumer_Urbandale,2019-11-15,2019-12-12,27,Late,0–30 Days Late
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,2020-01-14,2020-01-21,113,Consumer_Urbandale,2020-02-13,2020-02-12,-1,On Time,On Time / Early
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2019-08-19,2019-08-23,114,Consumer_Columbus,2019-09-18,2019-10-24,36,Late,31–60 Days Late
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2021-10-14,2021-10-20,115,Consumer_Columbus,2021-11-13,2021-12-16,33,Late,31–60 Days Late
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2019-02-10,2019-02-17,116,Consumer_Columbus,2019-03-12,2019-04-16,35,Late,31–60 Days Late
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2021-11-17,2021-11-22,117,Consumer_Columbus,2021-12-17,2022-01-08,22,Late,0–30 Days Late
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,2019-05-15,2019-05-17,118,Consumer_Seattle,2019-06-14,2019-06-15,1,Late,0–30 Days Late
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,2019-07-20,2019-07-25,119,Corporate_Bristol,2019-08-19,2019-08-22,3,Late,0–30 Days Late
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,2021-02-18,2021-02-19,120,Consumer_Wilmington,2021-03-20,2021-03-22,2,Late,0–30 Days Late
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,2021-07-18,2021-07-22,121,Consumer_Wilmington,2021-08-17,2021-08-23,6,Late,0–30 Days Late
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,2021-11-22,2021-11-29,122,Consumer_Wilmington,2021-12-22,2022-01-19,28,Late,0–30 Days Late
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,2021-12-07,2021-12-08,123,Consumer_Wilmington,2022-01-06,2022-02-02,27,Late,0–30 Days Late
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,2020-05-17,2020-05-18,124,Consumer_Wilmington,2020-06-16,2020-07-28,42,Late,31–60 Days Late
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2020-02-11,2020-02-13,125,Home Office_Houston,2020-03-12,2020-03-29,17,Late,0–30 Days Late
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,2021-03-15,2021-03-16,126,Consumer_Bloomington,2021-04-14,2021-05-02,18,Late,0–30 Days Late
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,2019-04-09,2019-04-16,127,Consumer_Phoenix,2019-05-09,2019-06-09,31,Late,31–60 Days Late
